lat,lng,streetName
43.6461994,-79.39376549999997,Charlotte St
43.6457811,-79.40082110000003,Portland St
43.6450893,-79.40143890000002,Adelaide Pl
43.64493299999999,-79.400484,Portland St
43.6452756,-79.3954579,King St W
43.645867,-79.39825869999999,Brant St
43.64643119999999,-79.40174480000002,Richmond St W
43.6448594,-79.40000529999998,King St W
43.6465642,-79.39449819999999,Oxley St
43.646134,-79.3956885,Spadina Ave
43.6441879,-79.39550789999998,Wellington St W
43.64599399999999,-79.39159610000002,King St W
43.6442448,-79.40228460000003,King St W
43.6446502,-79.40012389999998,Portland St
43.6460718,-79.39335260000001,King St E
43.64498750000001,-79.39600009999998,King St W
43.644715,-79.39096,Wellington St W
43.6442448,-79.40228460000003,King St W
43.6466477,-79.39257650000002,Peter St
43.643581,-79.39385290000001,Clarence Square
43.6449936,-79.3933917,Clarence Square
43.644217,-79.3966997,Wellington St W
43.6457568,-79.39549520000003,Spadina Ave
43.6446139,-79.39011729999999,Wellington St W
43.6466591,-79.39716120000003,Adelaide St W
43.6448707,-79.40099279999998,King St W
43.6451854,-79.39838020000002,King St W
43.6450312,-79.39510489999998,Spadina Ave
43.6455711,-79.3958427,King St W
43.6458397,-79.39250270000002,King St W
43.6465572,-79.39268679999998,Peter St
43.6443655,-79.40109359999997,King St W
43.6450556,-79.39900349999999,King St W
43.6445945,-79.39426200000003,Spadina Ave
43.643581,-79.39385290000001,Clarence Square
43.6461651,-79.3970301,Adelaide St W
43.645502,-79.39390379999998,King St W
43.644177,-79.39642900000001,Wellington St W
43.6441277,-79.39435579999997,Spadina Ave
43.6463853,-79.39561879999997,Spadina Ave
43.6436729,-79.39734140000002,Wellington St W
43.6456544,-79.3985998,Morrison St
43.6458325,-79.40261599999997,Adelaide St W
43.644488,-79.40238019999998,Bathurst St
43.6458027,-79.39875180000001,Morrison St
43.6458325,-79.40261599999997,Adelaide St W
43.6466222,-79.3903325,King St W
43.64615610000001,-79.39717840000003,Adelaide St W
43.6449936,-79.3933917,Clarence Square
43.6436451,-79.39158739999999,Front St W
43.6451886,-79.3997412,King St W
43.6445152,-79.39776499999999,King St W
43.64387199999999,-79.40012309999997,Portland St
43.6462468,-79.39452849999998,Oxley St
43.6463185,-79.39886380000002,Adelaide St W
43.646693,-79.39021000000002,King St W
43.6462464,-79.3963377,Adelaide St W
43.6448368,-79.40165869999998,Adelaide Pl
43.6465763,-79.39828949999998,Brant St
43.6458617,-79.39392699999996,King St W
43.6450556,-79.39900349999999,King St W
43.6453849,-79.3965326,King St W
43.6438459,-79.39182399999999,Blue Jays Way
43.6453849,-79.3965326,King St W
43.6456836,-79.40113070000001,Adelaide St W
43.6446139,-79.39011729999999,Wellington St W
43.645491,-79.39395669999999,King St W
43.6441361,-79.39981119999999,Portland St
